searge,name,side,desc
m_109196_,displaySlot,2,
m_109199_,getDisplaySlot,2,
m_109218_,hasWarnings,0,
m_109222_,compilePatterns,0,
m_109233_,lambda$getAllWarnings$0,0,
m_109237_,lambda$compilePatterns$1,0,
m_109240_,willShowWarning,0,
m_109244_,parseJson,0,
m_109247_,showWarning,0,
m_109248_,dismissWarning,0,
m_109250_,isShowingWarning,0,
m_109252_,resetWarnings,0,
m_109253_,getRendererWarnings,0,
m_109254_,getVersionWarnings,0,
m_109255_,getVendorWarnings,0,
m_109256_,getAllWarnings,0,
m_109269_,apply,0,
m_109272_,matchAny,0,
m_109279_,getRenderType,0,
m_109282_,getChunkRenderType,0,
m_109287_,getRenderLayer,0,
m_109293_,getMovingBlockRenderType,0,
m_109311_,tick,0,
m_109312_,calculateMapTilt,0,
m_109314_,renderHandsWithItems,0,
m_109320_,itemUsed,0,
m_109330_,applyEatTransform,0,
m_109335_,applyItemArmAttackTransform,0,
m_109339_,renderTwoHandedMap,0,
m_109346_,renderPlayerArm,0,
m_109353_,renderOneHandedMap,0,
m_109361_,renderMapHand,0,
m_109366_,renderMap,0,
m_109371_,renderArmWithItem,0,
m_109382_,applyItemArmTransform,0,
m_109482_,initOutline,0,
m_109487_,resize,0,
m_109490_,setSectionDirtyWithNeighbors,0,
m_109494_,setBlocksDirty,0,
m_109501_,setSectionDirty,0,
m_109537_,getLightColor,0,
m_109541_,getLightColor,0,
m_109544_,blockChanged,0,
m_109588_,checkPoseStack,0,
m_109599_,renderLevel,0,
m_10960_,getSource,2,
m_10961_,getExpires,2,
m_10962_,getReason,2,
m_109637_,renderHitOutline,0,
m_109701_,setLevel,0,
m_109721_,setBlockDirty,0,
m_109732_,setBlockDirty,0,
m_109765_,removeProgress,0,
m_109769_,doEntityOutline,0,
m_109770_,setSectionDirty,0,
m_109774_,destroyBlockProgress,0,
m_109817_,shouldShowEntityOutlines,0,
m_109818_,allChanged,0,
m_109820_,getSectionStatistics,0,
m_109822_,getEntityStatistics,0,
m_109823_,submitEntities,0,
m_109826_,needsUpdate,0,
m_109828_,getTranslucentTarget,0,
m_109829_,getItemEntityTarget,0,
m_109830_,getParticlesTarget,0,
m_109831_,getWeatherTarget,0,
m_109832_,getCloudsTarget,0,
m_109880_,tick,0,
m_109881_,updateLightTexture,0,
m_109883_,block,0,
m_109885_,pack,0,
m_109894_,sky,0,
m_109898_,immediate,0,
m_109900_,immediateWithBuffers,0,
m_109911_,endBatch,0,
m_109912_,endBatch,0,
m_109928_,endOutlineBatch,0,
m_109929_,setColor,0,
m_110003_,render,0,
m_110023_,process,0,
m_110033_,load,0,
m_110085_,getX,0,
m_110086_,getY,0,
m_110087_,contains,0,
m_110090_,getWidth,0,
m_110091_,getHeight,0,
m_110098_,fixedBufferPack,0,
m_110101_,put,0,
m_110104_,bufferSource,0,
m_110108_,crumblingBufferSource,0,
m_110109_,outlineBufferSource,0,
m_11039_,isBanned,2,
m_11041_,isBanned,2,
m_11043_,get,2,
m_11045_,getIpFromAddress,2,
m_11059_,createIpInfo,2,
m_11069_,lambda$lookupPlayers$1,2,
m_110712_,registerValueAndGetMean,0,
m_110716_,getViewBlockingState,0,
m_110718_,renderScreenEffect,0,
m_110725_,renderWater,0,
m_110728_,renderFire,0,
m_11073_,readOldListFormat,2,
m_110762_,bannerSheet,0,
m_110763_,lambda$static$1,0,
m_110767_,chooseMaterial,0,
m_11076_,lambda$lookupPlayers$0,2,
m_110771_,chooseMaterial,0,
m_110782_,shieldSheet,0,
m_110785_,bedSheet,0,
m_110786_,shulkerBoxSheet,0,
m_110787_,signSheet,0,
m_110788_,chestSheet,0,
m_110789_,solidBlockSheet,0,
m_110790_,cutoutBlockSheet,0,
m_110791_,translucentItemSheet,0,
m_11081_,convertUserBanlist,2,
m_11083_,convertMobOwnerIfNecessary,2,
m_110849_,releaseAllBuffers,0,
m_110850_,repositionCamera,0,
m_110853_,setViewDistance,0,
m_110859_,setDirty,0,
m_11086_,lookupPlayers,2,
m_110872_,newWindow,0,
m_110881_,getModelManager,0,
m_110882_,getParticleIcon,0,
m_110893_,getBlockModel,0,
m_110907_,getBlockModelShaper,0,
m_11090_,convertPlayers,2,
m_110910_,getBlockModel,0,
m_110912_,renderSingleBlock,0,
m_110918_,renderBreakingTexture,0,
m_11092_,areOldUserlistsRemoved,2,
m_110937_,getModelRenderer,0,
m_11093_,ensureDirectoryExists,2,
m_110945_,getLightColor,0,
m_110959_,isFaceOccludedBySelf,0,
m_11095_,parseDate,2,
m_110978_,isFaceOccludedByState,0,
m_110984_,vertex,0,
m_11098_,convertIpBanlist,2,
m_111000_,enableCaching,0,
m_111001_,renderModelFaceFlat,0,
m_11100_,renameOldFile,2,
m_111012_,renderModelFaceAO,0,
m_111023_,putQuadData,0,
m_11102_,convertOpsList,2,
m_111039_,calculateShape,0,
m_11104_,convertWhiteList,2,
m_111058_,renderQuadList,0,
m_111067_,renderModel,0,
m_11106_,serverReadyAfterUserconversion,2,
m_111077_,clearCache,0,
m_11108_,areOldPlayersConverted,2,
m_11110_,getWorldPlayersDirectory,2,
m_111131_,fromFacing,0,
m_111133_,lambda$static$0,0,
m_111201_,fromFacing,0,
m_111203_,lambda$static$0,0,
m_111220_,enable,0,
m_111221_,getLightColor,0,
m_111225_,disable,0,
m_111226_,getShadeBrightness,0,
m_111230_,lambda$new$1,0,
m_111231_,lambda$new$0,0,
m_111276_,slot,2,
m_111279_,getSlot,2,
m_111304_,isTinted,0,
m_111325_,getFaces,0,
m_111332_,getRotation,0,
m_111334_,getVector3f,0,
m_111337_,getFacing,0,
m_111339_,filterNullFromFaces,0,
m_111344_,getAxis,0,
m_111368_,getTintIndex,0,
m_111370_,getTexture,0,
m_111372_,getCullFacing,0,
m_111461_,fromStream,0,
m_111479_,guiLight,0,
m_111491_,transforms,0,
m_111506_,getElements,0,
m_111509_,getTextureMap,0,
m_111511_,getParentName,0,
m_111600_,bakeQuad,0,
m_111612_,calculateFacing,0,
m_111620_,bakeVertex,0,
m_111630_,recalculateWinding,0,
m_111638_,processFrames,0,
m_11165_,getFileNameForProfile,2,
m_111661_,createSideElements,0,
m_11167_,movePlayerFile,2,
m_111763_,apply,0,
m_111778_,getVector3f,0,
m_112088_,team,2,
m_112091_,getTeam,2,
m_112119_,renderQuad,0,
m_112155_,renderPart,0,
m_11217_,setViewDistance,2,
m_112201_,lambda$extractRenderState$0,0,
m_112265_,getRenderer,0,
m_11226_,sendPlayerPermissionLevel,2,
m_11229_,sendLevelInfo,2,
m_112315_,lambda$acceptNone$2,0,
m_112322_,lambda$acceptDouble$0,0,
m_112332_,lambda$acceptSingle$1,0,
m_11236_,respawn,2,
m_11239_,getPlayerStats,2,
m_11241_,broadcast,2,
m_11255_,getPlayerByName,2,
m_11259_,getPlayer,2,
m_11261_,placeNewPlayer,2,
m_11268_,broadcastAll,2,
m_11270_,broadcastAll,2,
m_11273_,updateEntireScoreboard,2,
m_11282_,getPlayersWithAddress,2,
m_11286_,remove,2,
m_11288_,tick,2,
m_11289_,sendPlayerPermissionLevel,2,
m_11291_,getPlayerNamesArray,2,
m_11292_,sendAllPlayerInfo,2,
m_112958_,resolve,0,
m_112959_,floodFill,0,
m_11295_,getBans,2,
m_112961_,getIndex,0,
m_112965_,getNeighborIndexAtFace,0,
m_112968_,addEdges,0,
m_11296_,getPlayerAdvancements,2,
m_112971_,setOpaque,0,
m_112973_,lambda$static$0,0,
m_112975_,getIndex,0,
m_112983_,visibilityBetween,0,
m_112986_,set,0,
m_112990_,add,0,
m_112992_,setAll,0,
m_11299_,getIpBans,2,
m_113002_,prepare,0,
m_113006_,getFrustumPoints,0,
m_113029_,isVisible,0,
m_11302_,saveAll,2,
m_113037_,time,2,
m_11303_,isOp,2,
m_113058_,lambda$updateLastLookedAtUuid$11,0,
m_11305_,getWhiteList,2,
m_113068_,getPosDescription,0,
m_11306_,getWhiteListNames,2,
m_11307_,getOps,2,
m_11308_,getOpNames,2,
m_11309_,getPlayerCount,2,
m_11310_,getMaxPlayers,2,
m_113115_,getBeeUuidsAsString,0,
m_11311_,isUsingWhitelist,2,
m_113129_,getHiveMembers,0,
m_11312_,getViewDistance,2,
m_113139_,lambda$getGhostHives$9,0,
m_11313_,removeAll,2,
m_113142_,isBeeSelected,0,
m_113146_,createHiveBlacklistMap,0,
m_11314_,getPlayers,2,
m_113154_,getCamera,0,
m_113155_,getGhostHives,0,
m_113156_,updateLastLookedAtUuid,0,
m_11315_,reloadResources,2,
m_113211_,lambda$updateLastLookedAtUuid$3,0,
m_113265_,isMobSelected,0,
m_113279_,getGhostPois,0,
m_113286_,updateLastLookedAtUuid,0,
m_113291_,lambda$getGhostPois$1,0,
m_113393_,lambda$new$0,0,
m_113448_,getTargetedEntity,0,
m_11351_,canBypassPlayerLimit,2,
m_113573_,getColor,0,
m_113634_,distanceToCamera,0,
m_113665_,getCamera,0,
m_11366_,getBypassesPlayerLimit,2,
m_11373_,getUser,2,
m_113764_,getTextureLocation,0,
m_11381_,add,2,
m_113850_,uuid,2,
m_113853_,getUuid,2,
m_11385_,getFile,2,
m_11386_,remove,2,
m_11388_,get,2,
m_11390_,isEmpty,2,
m_11393_,remove,2,
m_11395_,getEntries,2,
m_11396_,contains,2,
m_11398_,save,2,
m_11399_,load,2,
m_11400_,removeExpired,2,
m_11406_,isBanned,2,
m_114158_,getY,0,
m_114382_,getRenderer,0,
m_114394_,getPackedLightCoords,0,
m_114397_,shouldRender,0,
m_114408_,prepare,0,
m_114471_,distanceToSqr,0,
m_114481_,getFont,0,
m_114505_,getPackedLightCoords,0,
m_114508_,getSkyLightLevel,0,
m_11453_,isWhiteListed,2,
m_114669_,getState,2,
m_114670_,place,2,
m_114690_,fraction,0,
m_11471_,toByteArray,2,
m_11472_,write,2,
m_11474_,writeString,2,
m_11476_,writeShort,2,
m_11478_,writeBytes,2,
m_114802_,getPosition,0,
m_11480_,reset,2,
m_11483_,toHexString,2,
m_11485_,intFromByteArray,2,
m_11488_,stringFromByteArray,2,
m_11492_,intFromByteArray,2,
m_11496_,intFromNetworkByteArray,2,
m_11512_,prepareForCommand,2,
m_11513_,getCommandResponse,2,
m_11514_,createCommandSourceStack,2,
m_115162_,renderQuadList,0,
m_115211_,getFoilBuffer,0,
m_11523_,isRunning,2,
m_115272_,quad,0,
m_115326_,addLayer,0,
m_115328_,sleepDirectionToRotation,0,
m_115338_,getOverlayCoords,0,
m_11544_,lambda$pruneChallenges$0,2,
m_11547_,recoverSocketError,2,
m_11549_,processPacket,2,
m_11551_,getIdentBytes,2,
m_11553_,create,2,
m_115558_,renderPainting,0,
m_11555_,sendTo,2,
m_115573_,getBlockPredicate,2,
m_11558_,buildRuleResponse,2,
m_11560_,validChallenge,2,
m_115624_,getAngle,0,
m_11562_,pruneChallenges,2,
m_11563_,sendChallenge,2,
m_11565_,initSocket,2,
m_11574_,getChallenge,2,
m_11575_,before,2,
m_11577_,getChallengeBytes,2,
m_11578_,getIdentBytes,2,
m_115878_,getTextureLocation,0,
m_11590_,send,2,
m_11594_,sendCmdResponse,2,
m_11598_,sendAuthFailure,2,
m_11599_,closeSocket,2,
m_116000_,getTextureLocation,0,
m_11611_,lambda$clearClients$0,2,
m_116123_,getBlock,2,
m_11613_,closeSocket,2,
m_11615_,create,2,
m_11618_,clearClients,2,
m_116481_,getTextureLocation,0,
m_116769_,serialize,2,
m_116775_,setValue,2,
m_116786_,addSuggestions,2,
m_116802_,appendProperty,2,
m_116826_,readBlock,2,
m_116830_,readTag,2,
m_116834_,readProperties,2,
m_116838_,readVagueProperties,2,
m_116842_,readNbt,2,
m_117078_,getArmorModel,0,
m_117118_,renderArmorPiece,0,
m_117128_,usesInnerModel,0,
m_117359_,coloredCutoutModelCopyLayerRender,0,
m_117376_,renderColoredCutoutModel,0,
m_117386_,getParentModel,0,
m_117658_,getHatData,0,
m_117985_,upload,0,
m_117988_,setPixels,0,
m_117991_,getPixels,0,
m_118071_,getLocation,0,
m_118088_,u,0,
m_118090_,pack,0,
m_118093_,pack,0,
m_118096_,v,0,
m_118174_,getWidth,0,
m_118178_,addToStorage,0,
m_118180_,gatherSprites,0,
m_118187_,getHeight,0,
m_118188_,smallestFittingMinTexel,0,
m_118191_,expand,0,
m_118193_,stitch,0,
m_118198_,lambda$static$1,0,
m_118200_,lambda$static$0,0,
m_118221_,add,0,
m_118225_,getX,0,
m_118226_,getY,0,
m_118228_,load,0,
m_118239_,blockPos,2,
m_118242_,getLoadedBlockPos,2,
m_118258_,getAllSprites,0,
m_118270_,cycleAnimationFrames,0,
m_118316_,getSprite,0,
m_118328_,tick,0,
m_118329_,clearTextureData,0,
m_118330_,location,0,
m_118367_,getU,0,
m_118381_,wrap,0,
m_118393_,getV,0,
m_118409_,getU0,0,
m_118410_,getU1,0,
m_118411_,getV0,0,
m_118412_,getV1,0,
m_118416_,uploadFirstFrame,0,
m_118495_,register,0,
m_118506_,getTexture,0,
m_118508_,safeClose,0,
m_118513_,release,0,
m_118521_,tick,0,
m_118726_,getPixels,0,
m_118875_,lambda$prepare$0,0,
m_118919_,getOrDefault,2,
m_118929_,shape,0,
m_118931_,reorder,0,
m_118936_,exists,0,
m_118938_,get,0,
m_118941_,setLanguage,0,
m_118976_,getLanguage,0,
m_118981_,extractLanguages,0,
m_118989_,columnPos,2,
m_118992_,getColumnPos,2,
m_119193_,atlasLocation,0,
m_119194_,buffer,0,
m_119197_,buffer,0,
m_119201_,renderType,0,
m_119203_,texture,0,
m_119415_,requiresRender,0,
m_119430_,getBlockModelShaper,0,
m_119568_,getBlockPos,2,
m_119609_,stop,0,
m_119627_,getMinPitch,0,
m_119628_,getMaxPitch,0,
m_119654_,getMoodiness,0,
m_119659_,fadeOut,0,
m_119660_,fadeIn,0,
m_119668_,lambda$tick$0,0,
m_119745_,forMusic,0,
m_119752_,forUI,0,
m_119755_,forUI,0,
m_119759_,forAmbientAddition,0,
m_119766_,forLocalAmbience,0,
m_119787_,getLocation,0,
m_119790_,getPath,0,
m_119795_,getType,0,
m_119796_,shouldStream,0,
m_119797_,shouldPreload,0,
m_119798_,getAttenuationDistance,0,
m_119810_,getByName,0,
m_119822_,getSounds,0,
m_119823_,isReplace,0,
m_119824_,getSubtitle,0,
m_119830_,getSounds,0,
m_119832_,getType,0,
m_119835_,getSound,0,
m_119906_,parse,2,
m_119908_,readDouble,2,
m_119967_,generate,0,
m_119968_,getString,0,
m_119970_,add,0,
m_119973_,search,0,
